"Label","InDegree","OutDegree","Eigenvector","Hub","Authority"
"Seoul",0.334911805647,0.207195762223,1,0.534329498220747,0.959691977898221
"Yeoju",0.142865370224,0.196644028421,0.422990647979398,0.517934876358889,0.365504003764658
"Pocheon",0.238302165731,0.222885149176,0.718827359321297,0.6235066685211,0.615003167121869
"Yangju",0.32593503982,0.213766717793,0.979864531375546,0.621981295284332,0.77594873458824
"Hwaseong",0.118745953808,0.169663816247,0.364132403866299,0.523408741969666,0.344451594558769
"Gimpo",0.107062286502,0.27457028812,0.321305184373602,0.751309130900857,0.288903271003978
"Anseong",0.172528177849,0.181923864652,0.440351662824679,0.477494568432257,0.433534293360951
"Icheon",0.2394908534,0.160240409186,0.760736525929653,0.512331860426569,0.607241982064394
"Paju",0.23280887966,0.232651187502,0.726443868778675,0.659685487872666,0.583383171993505
"Yongin",0.203505541943,0.234985372679,0.484401037392182,0.699493411197038,0.518897629011452
"Hanam",0.271203311355,0.159673807297,0.702366383290656,0.460060078067397,0.665006983679599
"Uiwang",0.186712820351,0.140128315607,0.45853008278083,0.370149157151869,0.449028489722685
"Gunpo",0.239491788459,0.182107122629,0.639269002555233,0.499868022304627,0.549884660468844
"Siheung",0.250339192968,0.231074854407,0.709867018150434,0.650887766129481,0.665655244688577
"Osan",0.10756682687,0.277984856525,0.294892139610312,0.878465523904168,0.258648185383851
"Namyangju",0.276582918981,0.278030731334,0.775240802999891,0.847730087459408,0.792963381942917
"Guri",0.252979165304,0.119275948445,0.772196434695617,0.346775031367632,0.650484719234529
"Gwacheon",0.155849855656,0.281562978142,0.46164663796697,0.849331189898868,0.39128195798001
"Goyang",0.377480135131,0.154692179728,0.963451281674218,0.44002532328058,1
"Ansan",0.186919641406,0.243144614011,0.588319296033836,0.735135923313859,0.496945218595847
"Dongducheon",0.232034433225,0.317127464352,0.70481944780567,0.963310141478233,0.558767428194108
"Pyeongtaek",0.184326057457,0.083239087664,0.539183519878105,0.203527476979742,0.478776737392244
"Gwangmyeong",0.138503633111,0.245383064827,0.411428105490653,0.78866853593956,0.330553249858519
"Bucheon",0.128160291241,0.27950889583,0.355918400112721,0.707887308334311,0.329872062284312
"Anyang",0.217460460235,0.138008727368,0.555847698074769,0.402931429032099,0.616398840582227
"Uijeongbu",0.284441899694,0.365842681603,0.835537393997933,0.983866907575074,0.65420080760073
"Seongnam",0.210332117066,0.369595532569,0.599314136848295,1,0.545148946674348
"Suwon",0.268299332844,0.175054796538,0.666155312700293,0.463171198358437,0.668153977532974
"Gwangju",0.190585253429,0.191791266782,0.548357874943554,0.580768789306056,0.512185576812908
"Incheon",0.219532715365,0.167204403075,0.669107141486404,0.440618502105982,0.582247021641981
